Country,Region,Grape,Size,Sweetness,Colour,Food match
Solomon Islands,KN,Mujuretuli,1L,Semi-sweet,Red wine,BBQs
Luxembourg,Antwerpen,Baga,1L,Very sweet,Red wine,Duck
Sudan,CE,Mujuretuli,75CL,Dry,Rosé,BBQs
France,SJ,Gaglioppo,1L,Sweet,Rosé,Duck
Poland,BR,Blauburger,1L,Very sweet,Tawny,Vegetarian
South Georgia and The South Sandwich Islands,Bremen,AglianiconeAlbaranzeuli nero,1L,Dry,White wine,Vegetarian
Colombia,Noord Brabant,Manseng noir,1L,Very sweet,Gray,Duck
French Southern Territories,Victoria,Agiorgitiko,75CL,Semi-sweet,Yellow,Pork
Italy,Guanacaste,Aleatico,75CL,Dry,White wine,BBQs
Israel,W,Agiorgitiko,1L,Semi-sweet,Gray,Cheese
Paraguay,RM,Lagrein,75CL,Very sweet,Tawny,Duck
Bahamas,Noord Brabant,Cinsaut,1L,Semi-sweet,Yellow,BBQs
Yemen,RM,Manseng noir,1L,Dry,Red wine,Duck
United States,KP,Aglianico,75CL,Bone dry,Yellow,Vegetarian
Mali,Comunitat Valenciana,Blauburger,75CL,Dry,Gray,Beef
Swaziland,San José,Agiorgitiko,75CL,Dry,Red wine,Pork
Haiti,HH,Blauburger,1L,Dry,Tawny,Fish
Belize,PE,Helfensteiner,1L,Semi-sweet,Yellow,Duck
"Virgin Islands, British",Nevada,Helfensteiner,75CL,Very sweet,Gray,Pork
Gabon,Z.,Agiorgitiko,75CL,Dry,Red wine,BBQs
Northern Mariana Islands,IA,Aglianico,75CL,Dry,Tawny,Duck
South Georgia and The South Sandwich Islands,Dolnośląskie,Agiorgitiko,1L,Semi-sweet,Red wine,Duck
Guadeloupe,Akwa Ibom,Garanoir,1L,Semi-sweet,Red wine,Duck
Macedonia,SP,AglianiconeAlbaranzeuli nero,75CL,Dry,White wine,Vegetarian
Liberia,Catalunya,Lagrein,1L,Very sweet,Yellow,Duck
Japan,QLD,Cinsaut,1L,Dry,Red wine,BBQs
"Virgin Islands, United States",Gelderland,Cinsaut,75CL,Semi-sweet,Red wine,Beef
"Korea, South",Berlin,Mujuretuli,1L,Semi-sweet,White wine,Cheese
Anguilla,OK,Aleatico,1L,Dry,White wine,Vegetarian
Bhutan,Mer,Helfensteiner,75CL,Dry,White wine,Cheese
Oman,Z.,Manseng noir,1L,Bone dry,White wine,Duck
Kazakhstan,DE,Dureza,75CL,Semi-sweet,Rosé,Vegetarian
Barbados,Andalucía,Manseng noir,1L,Very sweet,Yellow,Beef
Saudi Arabia,łódzkie,Agiorgitiko,1L,Very sweet,Yellow,Vegetarian
Isle of Man,KL,Avanà,1L,Dry,Rosé,Vegetarian
Guyana,L,Blauburger,1L,Very sweet,Rosé,Pork
Cook Islands,MA,Manseng noir,75CL,Dry,Red wine,Beef
Palau,Cumberland,Mujuretuli,75CL,Bone dry,Red wine,Pork
Canada,Valparaíso,Mujuretuli,75CL,Very sweet,White wine,Duck
Sao Tome and Principe,SP,Garanoir,1L,Very sweet,Tawny,BBQs
Eritrea,Zl,Garanoir,1L,Semi-sweet,Gray,Vegetarian
Eritrea,Nairnshire,Agiorgitiko,75CL,Semi-sweet,Yellow,Cheese
Croatia,Vlaams-Brabant,Aragónez,1L,Semi-sweet,Red wine,Duck
French Guiana,Stockholms län,Aragónez,1L,Sweet,White wine,Fish
Aruba,Nord-Pas-de-Calais,Petit Verdot,1L,Semi-sweet,Tawny,Vegetarian
Israel,Mississippi,Aglianico,75CL,Dry,Tawny,Pork
Jordan,NI,Avanà,75CL,Very sweet,White wine,Duck
Aruba,Stockholms län,Petit Verdot,1L,Dry,Rosé,Duck
French Southern Territories,L,Gaglioppo,75CL,Bone dry,Yellow,Vegetarian
Guyana,Manisa,Aleatico,1L,Sweet,Tawny,Vegetarian
Vanuatu,Alsace,Mujuretuli,1L,Bone dry,White wine,Fish
Indonesia,West-Vlaanderen,Lagrein,75CL,Semi-sweet,Gray,Cheese
